NO  LBA(start)   Size        Name
01  0x00004000  0x00002000  uboot
02  0x00006000  0x00002000  trust
03  0x00008000  0x00002000  misc
04  0x0000a000  0x00000800  baseparameter
05  0x0000a800  0x00008000  resource
06  0x00012800  0x0000c000  kernel
07  0x0001e800  0x00010000  boot
08  0x0002e800  0x00010000  recovery
09  0x00032800  0x00038000  backup
10  0x00076800  0x00040000  cache
11  0x000b6800  0x00400000  system
12  0x004b6800  0x00008000  metadata
13  0x004be800  0x00000040  verity_mode
14  0x004be840  0x00019000  vendor0
15  0x004d7840  0x00019000  vendor1
16  0x00500840  0xffffffff  userdata
